YEAR,WEEK,how to stop a cough,flu,home remedies for flu,flu symptoms,flu outbreak,cold vs flu,body aches no fever,sore throat and fever,where to get a flu shot,flu test near me,best flu medicine,TOTAL SPECIMENS,A (H3),A (2009 H1N1),A (Subtyping not Performed),B,H3N2v,BVic,BYam,A (H5),TOTAL,PERCENT POSITIVE
2024,50,79,22,36,40,17,19,43,41,13,12,54,3857,1108,942,265,34,0,52,0,5,2406,0.6238008815141302
2024,51,100,28,59,50,8,27,57,56,0,17,79,5039,1719,1340,352,29,0,37,0,1,3478,0.6902163127604684
2024,52,80,32,59,54,13,26,55,46,9,21,73,5490,1895,1679,547,38,0,32,0,0,4191,0.7633879781420765
2025,1,68,26,34,41,17,21,42,38,8,19,54,6487,2338,2019,490,53,0,38,0,0,4938,0.761214737166641
2025,2,55,23,47,39,7,19,50,40,14,20,59,6202,2171,1701,420,49,0,33,0,1,4375,0.7054176072234764
2025,3,55,27,64,47,8,24,50,42,0,22,68,7244,2321,2163,671,57,0,60,0,0,5272,0.7277747101049145
2025,4,65,41,76,69,37,28,62,50,15,36,87,7972,2549,2742,906,75,0,40,0,0,6312,0.7917711991971902
2025,5,71,43,75,74,21,28,58,51,11,41,100,9978,3000,3477,1245,119,0,94,0,0,7935,0.7952495490078172
2025,6,63,40,67,67,20,29,49,45,11,35,86,8281,2170,2819,1310,138,0,42,0,1,6480,0.7825141891075957
2025,7,55,32,52,53,14,23,43,40,9,25,68,3519,673,1115,595,94,0,9,0,0,2486,0.7064506962205171
